dataset,condition,seed,global_best,global_min,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
coatings,fixed_random,0,4081245.0762726846,0.0,0.9587849566026904,4019112.594109251,0.9847760962641876,6,0,0.0,0
coatings,fixed_random,1,4081245.0762726846,0.0,0.9734250387864614,3972786.146667793,0.9734250387864615,0,0,0.0,0
coatings,fixed_random,2,4081245.0762726846,0.0,0.8198828202272457,3972786.146667793,0.9734250387864615,40,0,0.0,0
coatings,fixed_random,3,4081245.0762726846,0.0,0.7140047568071347,4019112.594109251,0.9847760962641876,80,0,0.0,0
coatings,fixed_random,4,4081245.0762726846,0.0,0.9807845156126795,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,fixed_random,5,4081245.0762726846,0.0,0.9537887644219482,3972786.146667793,0.9734250387864615,0,0,0.0,0
coatings,fixed_random,6,4081245.0762726846,0.0,0.89755266033767,4019112.594109251,0.9847760962641876,44,0,0.0,0
coatings,fixed_random,7,4081245.0762726846,0.0,0.9696421587889045,4019112.594109251,0.9847760962641876,10,0,0.0,0
coatings,fixed_random,8,4081245.0762726846,0.0,0.9303018407757605,4019112.594109251,0.9847760962641876,7,0,0.0,0
coatings,fixed_random,9,4081245.0762726846,0.0,0.8413023835678116,4081245.0762726846,1.0,35,0,0.0,0
coatings,fixed_random,10,4081245.0762726846,0.0,0.8911841064027717,4019112.594109251,0.9847760962641876,38,0,0.0,0
coatings,fixed_random,11,4081245.0762726846,0.0,0.777751515121849,3849179.6928702956,0.9431385817157716,70,0,0.0,0
coatings,fixed_random,12,4081245.0762726846,0.0,0.8660420521383758,3972786.146667793,0.9734250387864615,50,0,0.0,0
coatings,fixed_random,13,4081245.0762726846,0.0,0.95258153384624,3972786.146667793,0.9734250387864615,13,0,0.0,0
coatings,fixed_random,14,4081245.0762726846,0.0,0.994813834991097,4081245.0762726846,1.0,0,0,0.0,0
coatings,fixed_random,15,4081245.0762726846,0.0,0.9368312694035599,3972786.146667793,0.9734250387864615,20,0,0.0,0
coatings,fixed_random,16,4081245.0762726846,0.0,0.9283096510784756,4081245.0762726846,1.0,27,0,0.0,0
coatings,fixed_random,17,4081245.0762726846,0.0,0.885618945254388,3972786.146667793,0.9734250387864615,47,0,0.0,0
coatings,fixed_random,18,4081245.0762726846,0.0,0.8921054556293051,3640900.9983031014,0.8921054556293051,-1,0,0.0,0
coatings,fixed_random,19,4081245.0762726846,0.0,0.8794653112634178,4019112.594109251,0.9847760962641876,46,0,0.0,0
coatings,fixed_ucb_low,0,4081245.0762726846,0.0,0.859870855339079,4019112.594109251,0.9847760962641876,60,0,0.0,0
coatings,fixed_ucb_low,1,4081245.0762726846,0.0,0.9829050428337931,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,fixed_ucb_low,2,4081245.0762726846,0.0,0.9558183444807534,4081245.0762726846,1.0,9,0,0.0,0
coatings,fixed_ucb_low,3,4081245.0762726846,0.0,0.7089831352247101,3457048.293078129,0.8470572652391115,-1,0,0.0,0
coatings,fixed_ucb_low,4,4081245.0762726846,0.0,0.983279253519872,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,fixed_ucb_low,5,4081245.0762726846,0.0,0.9774149410404884,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,fixed_ucb_low,6,4081245.0762726846,0.0,0.944245622933329,4081245.0762726846,1.0,17,0,0.0,0
coatings,fixed_ucb_low,7,4081245.0762726846,0.0,0.9801740515136673,4081245.0762726846,1.0,11,0,0.0,0
coatings,fixed_ucb_low,8,4081245.0762726846,0.0,0.9508142464960381,4081245.0762726846,1.0,21,0,0.0,0
coatings,fixed_ucb_low,9,4081245.0762726846,0.0,0.8878489236368687,4019112.594109251,0.9847760962641876,34,0,0.0,0
coatings,fixed_ucb_low,10,4081245.0762726846,0.0,0.9273821203403849,4081245.0762726846,1.0,27,0,0.0,0
coatings,fixed_ucb_low,11,4081245.0762726846,0.0,0.790960024500181,4081245.0762726846,1.0,52,0,0.0,0
coatings,fixed_ucb_low,12,4081245.0762726846,0.0,0.9511583550137063,4081245.0762726846,1.0,14,0,0.0,0
coatings,fixed_ucb_low,13,4081245.0762726846,0.0,0.9630140268029597,4019112.594109251,0.9847760962641876,6,0,0.0,0
coatings,fixed_ucb_low,14,4081245.0762726846,0.0,0.9847760962641876,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,fixed_ucb_low,15,4081245.0762726846,0.0,0.9445853828608854,4081245.0762726846,1.0,20,0,0.0,0
coatings,fixed_ucb_low,16,4081245.0762726846,0.0,0.95053591805894,4081245.0762726846,1.0,18,0,0.0,0
coatings,fixed_ucb_low,17,4081245.0762726846,0.0,0.9496672750315709,4019112.594109251,0.9847760962641876,14,0,0.0,0
coatings,fixed_ucb_low,18,4081245.0762726846,0.0,0.9937796957904724,4081245.0762726846,1.0,5,0,0.0,0
coatings,fixed_ucb_low,19,4081245.0762726846,0.0,0.9324726285665508,4081245.0762726846,1.0,19,0,0.0,0
